periode_data,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
201810,JAKARTA PUSAT,KEC. SAWAH BESAR,KEL. GUNUNG SAHARI UTARA,1,1,3,0,0,10 S/D 40 CM,TGL. 29,0,0,0,0,0,0,0,0
201810,JAKARTA BARAT,KEC. CENGKARENG,KEL. RAWA BUAYA,"03, 11",2,3,0,0,20 S/D 30,TGL. 29,0,0,0,0,0,0,0,0
201810,JAKARTA TIMUR,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"04, 05",4,21,212,711,30 S/D 80 CM,"TGL. 23, 29",0,0,0,0,0,0,0,0
201810,JAKARTA TIMUR,KEC. JATINEGARA,KEL. BIDARA CINA,"07, 11",2,4,175,290,50 S/D 60 CM,TGL. 29,0,0,0,0,0,0,0,0
201810,JAKARTA TIMUR,KEC. KRAMAT JATI,KEL. CAWANG,"01, 02, 03, 05",4,8,0,0,10 S/D 50 CM,TGL. 29,0,0,0,0,0,0,0,0
201801,JAKARTA BARAT,PENJARINGAN,KAMAL MUARA,"01, 04",2,12,0,0,20 S/D 30 CM,TGL. 02,0,0,0,0,0,0,0,0
201801,JAKARTA UTARA,KALIDERES,KAMAL,"1, 4",2,3,0,0,10 S/D 25 CM,"TGL. 03, 04, 05, 18, 31",0,0,0,0,0,0,0,0
201801,JAKARTA UTARA,GROGOL PETAMBURAN,JELAMBAR BARU,1,1,2,0,0,15 CM,TGL. 03,0,0,0,0,0,0,0,0
201801,JAKARTA UTARA,GROGOL PETAMBURAN,JELAMBAR,7,1,1,0,0,20 CM,TGL. 03,0,0,0,0,0,0,0,0
201801,JAKARTA UTARA,KEMBANGAN,KEMBANGAN UTARA,"3, 4, 5, 6",4,2,0,0,5 S/D 20 CM,TGL. 18,0,0,0,0,0,0,0,0
201801,JAKARTA UTARA,CENGKARENG,KAPUK,"02, 05, 06, 07, 09, 12, 13, 15, 16",9,21,0,0,5 S/D 30 CM,TGL. 18,0,0,0,0,0,0,0,0
201801,JAKARTA UTARA,CENGKARENG,RAWA BUAYA,"01, 02",2,1,0,0,15 S/D 20 CM,TGL. 18,0,0,0,0,0,0,0,0
201801,JAKARTA UTARA,CENGKARENG,CENGKARENG TIMUR,"03, 04, 12, 13",4,12,0,0,10 S/D 40 CM,TGL. 18,0,0,0,0,0,0,0,0
201802,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,"05, 07, 08",3,7,0,0,10 S/D 35 CM,"TGL. 15, 16",0,0,0,0,0,0,0,0
201802,JAKARTA PUSAT,KEMAYORAN,SERDANG,"01, 07",2,6,0,0,10 S/D 50 CM,TGL. 15,0,0,0,0,0,0,0,0
201802,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,"01, 02, 04",3,5,0,0,5 S/D 10 CM,"TGL. 01, 15",0,0,0,0,0,0,0,0
201802,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,"12, 17",2,3,0,0,10 S/D 35 CM,TGL. 15,0,0,0,0,0,0,0,0
201802,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,1,1,1,0,0,05 S/D 15 CM,TGL. 15,0,0,0,0,0,0,0,0
201802,JAKARTA UTARA,CILINCING,SUKAPURA,"01, 10",2,8,7,30,10 S/D 50 CM,"TGL. 15, 16",0,0,0,0,30,1,0,0
201802,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,3,1,1,30,100,60 S/D 70 CM,"TGL. 15, 16",0,0,0,0,100,1,0,0
201802,JAKARTA UTARA,KOJA,TUGU SELATAN,4,1,2,38,140,40 CM,"TGL. 15, 16",0,0,0,0,140,1,0,0
201802,JAKARTA BARAT,KALIDERES,TEGAL ALUR,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16",16,143,0,0,20 S/D 30 CM,"TGL, 5, 15, 17",0,0,0,0,0,0,0,0
201802,JAKARTA BARAT,KALIDERES,KAMAL,"01, 02, 03, 04, 05, 06, 07, 08, 09",9,2,0,0,30 S/D 50 CM,TGL. 15,0,0,0,0,0,0,0,0
201802,JAKARTA BARAT,CENGKARENG,KAPUK,"01, 02, 03, 04, 05, 06, 07, 09, 10, 11, 12, 13, 15, 16",14,47,0,0,5 S/D 60 CM,"TGL. 15, 16",0,0,0,0,0,0,0,0
201802,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,"01, 02, 05, 11",4,15,0,0,5 S/D 30 CM,TGL. 15,0,0,0,0,0,0,0,0
201802,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,4,1,1,0,0,10 S/D 50 CM,"TGL. 15, 16",0,0,0,0,0,0,0,0
201802,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,"04, 06, 09, 10, 11, 16",6,13,0,0,10 S/D 80 CM,"TGL. 15, 16",0,0,0,0,0,0,0,0
201802,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,"03, 12, 13, 14, 16",5,39,0,0,10 S/D 80 CM,"TGL. 15, 16",0,0,0,0,0,0,0,0
201802,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,"04, 10",2,3,0,0,15 S/D 30 CM,TGL. 15,0,0,0,0,0,0,0,0
