date,temperature_2m,weather_code,precipitation,soil_temperature_0_to_7cm,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m
2017-01-01 00:00:00+00:00,24.508501,51.0,0.2,26.1085,95.311775,1006.3093,5.95906,244.98314
2017-01-01 01:00:00+00:00,24.2085,53.0,0.5,25.9585,96.16745,1006.30646,5.2416787,254.05453
2017-01-01 02:00:00+00:00,24.4585,51.0,0.2,25.8085,94.73761,1005.8101,5.95906,244.98314
2017-01-01 03:00:00+00:00,24.0585,51.0,0.1,25.5585,95.873474,1005.5072,5.315336,241.69934
2017-01-01 04:00:00+00:00,24.1085,2.0,0.0,25.508501,95.87501,1005.20874,5.6233797,230.19447
2017-01-01 05:00:00+00:00,23.9085,2.0,0.0,25.4085,96.15897,1005.3062,4.510787,208.61037
2017-01-01 06:00:00+00:00,23.6585,2.0,0.0,25.3085,97.32186,1005.9023,5.2416787,195.94547
2017-01-01 07:00:00+00:00,25.5,2.0,0.0,26.1,88.185814,1006.1193,4.198285,239.0363
2017-01-01 08:00:00+00:00,26.45,3.0,0.0,27.7,75.417015,1006.5274,5.1165614,219.28938
2017-01-01 09:00:00+00:00,28.3,3.0,0.0,28.3,67.878136,1006.545,7.10031,239.53453
2017-01-01 10:00:00+00:00,30.1,2.0,0.0,29.4,64.03007,1006.06354,10.182337,261.87
2017-01-01 11:00:00+00:00,31.3,2.0,0.0,30.6,60.14902,1005.07733,11.5199995,270.0
2017-01-01 12:00:00+00:00,31.3,2.0,0.0,31.3,60.14902,1004.47894,13.084402,277.90707
2017-01-01 13:00:00+00:00,31.15,51.0,0.1,31.7,61.219395,1003.4806,14.05845,283.32455
2017-01-01 14:00:00+00:00,29.9,51.0,0.2,31.7,67.57527,1002.9703,13.779114,289.85532
2017-01-01 15:00:00+00:00,28.65,61.0,1.3,31.3,73.51734,1002.7589,15.141414,298.3929
2017-01-01 16:00:00+00:00,28.8,51.0,0.2,30.75,75.560265,1002.9599,6.763786,295.20108
2017-01-01 17:00:00+00:00,28.8,3.0,0.0,30.3,76.4725,1003.25903,7.145796,319.0857
2017-01-01 18:00:00+00:00,27.5,3.0,0.0,29.7,88.876495,1003.74536,5.4833565,293.1986
2017-01-01 19:00:00+00:00,27.7,3.0,0.0,30.2,77.69912,1003.6476,7.729527,242.24155
2017-01-01 20:00:00+00:00,27.0,3.0,0.0,29.4,82.18086,1004.4387,6.1094027,224.9999
2017-01-01 21:00:00+00:00,26.4,3.0,0.0,28.75,83.61012,1005.33044,7.10031,239.53453
2017-01-01 22:00:00+00:00,26.0,3.0,0.0,28.25,83.81854,1005.82495,6.696387,233.74606
2017-01-01 23:00:00+00:00,25.35,3.0,0.0,27.8,85.80482,1005.71924,5.991594,237.26477
2017-01-02 00:00:00+00:00,24.95,3.0,0.0,27.4,86.81381,1005.4159,5.3999996,233.13002
2017-01-02 01:00:00+00:00,24.75,3.0,0.0,27.05,87.059586,1005.31445,6.12,241.92761
2017-01-02 02:00:00+00:00,24.6,3.0,0.0,26.75,87.04598,1005.014,7.24486,243.43501
2017-01-02 03:00:00+00:00,24.5,3.0,0.0,26.55,86.24516,1004.8136,8.0899935,237.72438
2017-01-02 04:00:00+00:00,24.2,3.0,0.0,26.35,87.00967,1004.8105,6.1305785,229.76372
2017-01-02 05:00:00+00:00,23.65,3.0,0.0,26.1,89.93401,1005.0046,5.95906,244.98314
2017-01-02 06:00:00+00:00,23.65,3.0,0.0,25.9,90.48433,1005.3037,5.692099,235.30478
2017-01-02 07:00:00+00:00,25.75,3.0,0.0,27.15,82.279305,1006.02216,4.6102495,231.34016
2017-01-02 08:00:00+00:00,27.7,3.0,0.0,27.85,75.61503,1006.53937,4.896529,252.89719
2017-01-02 09:00:00+00:00,29.3,3.0,0.0,28.85,70.58901,1006.2554,9.178235,258.6901
2017-01-02 10:00:00+00:00,30.4,3.0,0.0,29.85,63.7063,1006.3652,14.345898,252.47433
2017-01-02 11:00:00+00:00,30.9,51.0,0.2,30.55,61.349678,1005.67175,15.815435,258.17853
2017-01-02 12:00:00+00:00,31.1,51.0,0.1,31.0,61.208267,1004.97565,16.700275,262.5687
2017-01-02 13:00:00+00:00,30.55,51.0,0.4,31.4,64.70978,1004.2726,19.493261,274.23633
2017-01-02 14:00:00+00:00,30.7,1.0,0.0,31.6,64.15696,1003.2767,18.03237,273.43356
2017-01-02 15:00:00+00:00,30.65,1.0,0.0,31.7,64.926414,1003.07697,18.391735,266.6336
