date,temperature_2m,weather_code,precipitation,soil_temperature_0_to_7cm,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m
2017-01-01 00:00:00+00:00,25.42,53.0,0.8,26.42,91.1503,1006.909,3.7064266,240.94548
2017-01-01 01:00:00+00:00,24.720001,55.0,1.1,26.27,93.8961,1007.0038,3.671294,258.6901
2017-01-01 02:00:00+00:00,25.37,2.0,0.0,26.17,90.327995,1006.5096,4.510787,241.38963
2017-01-01 03:00:00+00:00,24.92,51.0,0.1,25.970001,91.394,1006.2071,4.3498964,245.55606
2017-01-01 04:00:00+00:00,24.92,2.0,0.0,25.92,91.67006,1006.0075,4.6102495,231.34016
2017-01-01 05:00:00+00:00,24.77,2.0,0.0,25.820002,92.21599,1006.0062,4.829907,206.56499
2017-01-01 06:00:00+00:00,24.470001,2.0,0.0,25.720001,94.73803,1006.6027,5.2416787,195.94547
2017-01-01 07:00:00+00:00,25.55,3.0,0.0,26.45,90.61235,1006.71045,3.5455887,246.0375
2017-01-01 08:00:00+00:00,26.8,3.0,0.0,27.95,76.39737,1007.0189,4.1046314,232.12495
2017-01-01 09:00:00+00:00,29.0,2.0,0.0,28.85,64.58137,1007.0347,7.653705,228.81418
2017-01-01 10:00:00+00:00,30.4,2.0,0.0,29.9,61.800312,1006.6456,9.693296,248.19853
2017-01-01 11:00:00+00:00,31.6,2.0,0.0,31.0,59.311462,1005.75604,9.36,270.0
2017-01-01 12:00:00+00:00,31.9,2.0,0.0,31.75,57.4322,1005.05945,12.313893,285.25516
2017-01-01 13:00:00+00:00,31.15,51.0,0.1,31.95,60.849316,1004.1563,12.904882,300.1413
2017-01-01 14:00:00+00:00,30.15,51.0,0.3,31.85,69.899734,1003.55035,14.264361,312.9546
2017-01-01 15:00:00+00:00,28.95,53.0,0.9,31.1,75.13167,1003.3423,11.753876,310.0302
2017-01-01 16:00:00+00:00,28.8,61.0,2.1,30.6,77.39435,1003.6407,6.849467,266.98727
2017-01-01 17:00:00+00:00,28.55,3.0,0.0,30.15,78.29037,1003.9381,5.692099,304.69522
2017-01-01 18:00:00+00:00,27.4,3.0,0.0,29.55,89.66422,1004.4289,4.5820518,315.0001
2017-01-01 19:00:00+00:00,27.75,2.0,0.0,30.0,75.85195,1004.1321,9.178235,258.6901
2017-01-01 20:00:00+00:00,27.4,3.0,0.0,29.3,79.07488,1004.9278,8.557102,247.75093
2017-01-01 21:00:00+00:00,27.0,3.0,0.0,28.75,80.70822,1005.82306,9.904906,250.9064
2017-01-01 22:00:00+00:00,26.55,3.0,0.0,28.35,81.13967,1006.4182,8.534353,242.35411
2017-01-01 23:00:00+00:00,25.7,3.0,0.0,27.9,84.03967,1006.2127,6.792466,237.99466
2017-01-02 00:00:00+00:00,25.3,3.0,0.0,27.55,85.02265,1006.0101,6.489992,250.55988
2017-01-02 01:00:00+00:00,24.75,3.0,0.0,27.2,87.059586,1005.9064,5.7599998,270.0
2017-01-02 02:00:00+00:00,24.75,3.0,0.0,26.95,86.2691,1005.5073,6.924738,278.97253
2017-01-02 03:00:00+00:00,24.55,3.0,0.0,26.7,87.0415,1005.30615,5.771239,266.42374
2017-01-02 04:00:00+00:00,23.8,3.0,0.0,26.45,92.16145,1005.5001,6.193674,234.46223
2017-01-02 05:00:00+00:00,23.45,3.0,0.0,26.2,93.55464,1005.59735,5.315336,208.30066
2017-01-02 06:00:00+00:00,23.7,3.0,0.0,26.0,92.15578,1005.8985,3.096837,215.53777
2017-01-02 07:00:00+00:00,25.45,3.0,0.0,27.25,84.0123,1006.6099,4.072935,224.9999
2017-01-02 08:00:00+00:00,27.5,3.0,0.0,27.8,76.73644,1007.12366,5.00128,239.74365
2017-01-02 09:00:00+00:00,29.45,3.0,0.0,28.85,69.76962,1006.93835,7.628263,250.70985
2017-01-02 10:00:00+00:00,30.65,3.0,0.0,29.8,62.611027,1006.94684,12.864649,252.07199
